Rank,Symbol,Company_Name,Avg_Traded_Value,Current_Price,Has_Anomaly,Total_Anomalies,High_Severity,Medium_Severity,Low_Severity,Latest_Anomaly_Type,Latest_Anomaly_Severity,Latest_Anomaly_Description,Latest_Z_Score
1,NBP,National Bank of Pakistan,3389879176.357926,263.760009765625,,0,0,0,0,,,,
2,PPL,Pakistan Petroleum Limited,2870803462.983945,236.2700042724609,✓,1,0,0,1,Opening Gap,LOW,Gap Down of -1.34%,-2.91
3,FFC,Fauji Fertilizer Company,2787559376.061553,579.5800170898438,,0,0,0,0,,,,
4,OGDC,Oil & Gas Development Company,2541560730.0718813,294.739990234375,,0,0,0,0,,,,
5,HUBC,Hub Power Company,1976231704.691522,222.0500030517578,,0,0,0,0,,,,
6,PSO,Pakistan State Oil,1654387130.6354623,454.4500122070313,,0,0,0,0,,,,
7,BOP,Bank of Punjab,1586376331.6329403,36.36000061035156,,0,0,0,0,,,,
8,MEBL,Meezan Bank Limited,1214728642.621782,487.4500122070313,,0,0,0,0,,,,
9,DAWH,Dawood Hercules Corporation,1067637586.219875,292.2300109863281,,0,0,0,0,,,,
10,PTC,Pakistan Tobacco Company,1014401415.7607044,58.93999862670898,,0,0,0,0,,,,
11,UBL,United Bank Limited,1007626218.6874684,479.9800109863281,,0,0,0,0,,,,
12,LUCK,Lucky Cement Limited,991231159.8665012,460.8599853515625,,0,0,0,0,,,,
13,NML,Nishat Mills Limited,920267749.427274,179.67999267578125,,0,0,0,0,,,,
14,MARI,Mari Petroleum Company Limited,877446875.7824033,687.25,,0,0,0,0,,,,
15,PAEL,Pakistan Aluminium Beverage Cans,830764974.3103667,53.93999862670898,,0,0,0,0,,,,
16,DGKC,D.G. Khan Cement Company,826287552.0465561,215.55999755859372,,0,0,0,0,,,,
17,MLCF,Maple Leaf Cement Factory,748834527.0745871,112.87000274658205,✓,1,0,1,0,Opening Gap,MEDIUM,Gap Down of -1.19%,-3.07
18,SEARL,Searle Company Limited,738394293.7052488,116.0199966430664,,0,0,0,0,,,,
19,SYS,Systems Limited,685794675.494582,147.05999755859375,,0,0,0,0,,,,
20,EFERT,Engro Fertilizers Limited,680561182.0820775,217.2700042724609,,0,0,0,0,,,,
21,HBL,Habib Bank Limited,631545733.912646,323.19000244140625,,0,0,0,0,,,,
22,TRG,The Resource Group,576879432.047484,69.12000274658203,,0,0,0,0,,,,
23,AIRLINK,Airlink Communication Limited,550639483.8764206,178.07000732421875,,0,0,0,0,,,,
24,FCCL,Fauji Cement Company Limited,501296042.9555194,54.70000076293945,,0,0,0,0,,,,
25,AKBL,Askari Bank Limited,487501378.384587,99.9499969482422,,0,0,0,0,,,,
26,PIOC,Pioneer Cement Limited,460883546.6506685,352.94000244140625,,0,0,0,0,,,,
27,POL,Pakistan Oilfields Limited,443025479.0290085,638.9099731445312,,0,0,0,0,,,,
28,FATIMA,Fatima Fertilizer Company,365048182.4724352,171.00999450683594,,0,0,0,0,,,,
29,BAFL,Bank Alfalah Limited,334462337.0244922,123.4800033569336,,0,0,0,0,,,,
30,LOTCHEM,Lotte Chemical Pakistan Limited,299764387.8733001,23.09000015258789,,0,0,0,0,,,,
31,MCB,MCB Bank Limited,296453758.8163589,412.8299865722656,,0,0,0,0,,,,
32,THCCL,Thal Cement Limited,293978883.2666963,65.73999786376953,,0,0,0,0,,,,
33,SNGP,Sui Northern Gas Pipelines Limited,281169516.2042318,107.37000274658205,,0,0,0,0,,,,
34,FABL,Faysal Bank Limited,245063498.7559299,97.41000366210938,,0,0,0,0,,,,
35,MUGHAL,Mughal Iron & Steel Industries,240140312.98113355,88.41000366210938,,0,0,0,0,,,,
36,BAHL,Bank Al-Habib Limited,174534587.66279286,181.6499938964844,,0,0,0,0,,,,
37,HMB,Habib Metropolitan Bank,161146148.52612278,127.04000091552734,✓,2,0,1,1,Opening Gap,MEDIUM,Gap Up of +2.64%,3.59
38,SSGC,Sui Southern Gas Company,159792401.94631407,32.59000015258789,,0,0,0,0,,,,
39,GLAXO,GlaxoSmithKline Pakistan,157539401.1959555,413.4200134277344,,0,0,0,0,,,,
40,MTL,Millat Tractors Limited,147492675.01902825,556.4600219726562,,0,0,0,0,,,,
41,KOHC,Kohat Cement Company Limited,145346453.08050695,103.12999725341795,,0,0,0,0,,,,
42,EPCL,Engro Polymer & Chemicals,137116958.44163448,37.15999984741211,,0,0,0,0,,,,
43,EFOODS,Engro Foods Limited,128160545.41413906,86.18000030517578,,0,0,0,0,,,,
44,AICL,Archroma Pakistan Limited,126997760.35661948,99.9800033569336,,0,0,0,0,,,,
45,NCL,Nishat Chunian Limited,116134287.4963905,47.41999816894531,,0,0,0,0,,,,
46,ICI,ICI Pakistan Limited,115711052.86848012,270.95001220703125,,0,0,0,0,,,,
47,ISL,International Steels Limited,110080655.33883405,98.5999984741211,,0,0,0,0,,,,
48,NETSOL,NetSol Technologies,97229421.52194975,127.41000366210938,,0,0,0,0,,,,
49,APL,Attock Petroleum Limited,95812087.14359048,593.1799926757812,,0,0,0,0,,,,
50,HCAR,Honda Atlas Cars Pakistan,95786186.76567762,233.00999450683597,,0,0,0,0,,,,
51,CLOV,Clover Pakistan Limited,94557990.8734286,74.30000305175781,,0,0,0,0,,,,
52,CHCC,Cherat Cement Company,89141177.35150988,306.3500061035156,,0,0,0,0,,,,
53,ASTL,Amreli Steels Limited,86980667.24493626,22.030000686645508,,0,0,0,0,,,,
54,NATF,Natco Pharma Limited,61135015.20233365,410.3800048828125,,0,0,0,0,,,,
55,INDU,Indus Motor Company,51762963.4114864,2192.169921875,,0,0,0,0,,,,
56,KAPCO,Kot Addu Power Company,49332309.58341717,32.0,,0,0,0,0,,,,
57,ACPL,Attock Cement Pakistan Limited,46321640.65636155,288.1000061035156,,0,0,0,0,,,,
58,AVN,Avanceon Limited,45918987.07924994,41.29999923706055,,0,0,0,0,,,,
59,SNBL,Soneri Bank Limited,41110279.10733618,23.32999992370605,,0,0,0,0,,,,
60,GTYR,General Tyre & Rubber Company,35168635.10704185,38.09000015258789,,0,0,0,0,,,,
61,HINOON,Hinopak Motors Limited,34103344.01690043,1034.010009765625,,0,0,0,0,,,,
62,KTML,Kohinoor Textile Mills,29736318.403397527,60.2599983215332,,0,0,0,0,,,,
63,GATM,Gul Ahmed Textile Mills,28039838.09604783,28.920000076293945,,0,0,0,0,,,,
64,FEROZ,Ferozsons Laboratories Limited,27621835.02746687,436.7200012207031,,0,0,0,0,,,,
65,AGTL,AGP Limited,27388438.257246345,418.1700134277344,,0,0,0,0,,,,
66,THALL,Thal Limited,25948388.927016687,620.530029296875,,0,0,0,0,,,,
67,ABOT,Abbott Laboratories Pakistan,25672822.23273757,1175.0400390625,,0,0,0,0,,,,
68,ABL,Allied Bank Limited,20972520.771069232,193.57000732421875,,0,0,0,0,,,,
69,PKGS,Packages Limited,17734246.80177465,831.72998046875,,0,0,0,0,,,,
70,ATLH,Atlas Honda Limited,16796232.86329809,1807.5400390625,,0,0,0,0,,,,
71,SHFA,Shifa International Hospital,15187115.100543844,563.6599731445312,,0,0,0,0,,,,
72,SHEL,Shell Pakistan Limited,15148892.26418436,235.0399932861328,,0,0,0,0,,,,
73,FLYNG,Faysal Bank Limited,14398532.468826031,49.5099983215332,,0,0,0,0,,,,
74,COLG,Colgate Palmolive Pakistan,11347096.215390962,1221.56005859375,,0,0,0,0,,,,
